text,intent,clean_text
Bạn có thể cho mình biết Cảm ơn shop dễ thương quá nếu có thể.,thanks,ban co the cho minh biet cam on shop de thuong qua neu co the
Bạn có thể cho mình biết Cảm ơn shop dễ thương quá?,thanks,ban co the cho minh biet cam on shop de thuong qua
Cảm ơn shop dễ thương quá,thanks,cam on shop de thuong qua
Xin hỏi Cảm ơn shop dễ thương quá?,thanks,xin hoi cam on shop de thuong qua
Bạn có thể cho mình biết Cảm ơn shop dễ thương quá được không?,thanks,ban co the cho minh biet cam on shop de thuong qua duoc khong
Cho mình hỏi Cảm ơn shop dễ thương quá?,thanks,cho minh hoi cam on shop de thuong qua
Mình muốn biết Cảm ơn shop dễ thương quá nếu có thể.,thanks,minh muon biet cam on shop de thuong qua neu co the
Mình muốn biết Cảm ơn shop dễ thương quá giúp mình nhé.,thanks,minh muon biet cam on shop de thuong qua giup minh nhe
Cho mình hỏi Tạm biệt?,goodbye,cho minh hoi tam biet
Tạm biệt,goodbye,tam biet
Mình muốn biết Tạm biệt được không?,goodbye,minh muon biet tam biet duoc khong
Mình muốn biết Tạm biệt nếu có thể.,goodbye,minh muon biet tam biet neu co the
Xin hỏi Tạm biệt được không?,goodbye,xin hoi tam biet duoc khong
Bạn có thể cho mình biết Bye bye giúp mình nhé.,goodbye,ban co the cho minh biet bye bye giup minh nhe
Bye bye,goodbye,bye bye
Mình muốn biết Bye bye?,goodbye,minh muon biet bye bye
Xin hỏi Bye bye?,goodbye,xin hoi bye bye
Cho mình hỏi Bye bye được không?,goodbye,cho minh hoi bye bye duoc khong
Mình muốn biết Bye bye nếu có thể.,goodbye,minh muon biet bye bye neu co the
Cho mình hỏi Bye bye giúp mình nhé.,goodbye,cho minh hoi bye bye giup minh nhe
Cho mình hỏi Hẹn gặp lại nếu có thể.,goodbye,cho minh hoi hen gap lai neu co the
Mình muốn biết Hẹn gặp lại nếu có thể.,goodbye,minh muon biet hen gap lai neu co the
Hẹn gặp lại,goodbye,hen gap lai
Xin hỏi Hẹn gặp lại giúp mình nhé.,goodbye,xin hoi hen gap lai giup minh nhe
Mình muốn biết Hẹn gặp lại được không?,goodbye,minh muon biet hen gap lai duoc khong
Xin hỏi Hẹn gặp lại được không?,goodbye,xin hoi hen gap lai duoc khong
Bạn có thể cho mình biết Hẹn gặp lại được không?,goodbye,ban co the cho minh biet hen gap lai duoc khong
Cho mình hỏi Hẹn gặp lại?,goodbye,cho minh hoi hen gap lai
Bạn có thể cho mình biết Mình đi đây nếu có thể.,goodbye,ban co the cho minh biet minh di day neu co the
Mình muốn biết Mình đi đây giúp mình nhé.,goodbye,minh muon biet minh di day giup minh nhe
Bạn có thể cho mình biết Mình đi đây được không?,goodbye,ban co the cho minh biet minh di day duoc khong
Cho mình hỏi Mình đi đây?,goodbye,cho minh hoi minh di day
Mình đi đây,goodbye,minh di day
Bạn có thể cho mình biết Tôi thoát đây nhé được không?,goodbye,ban co the cho minh biet toi thoat day nhe duoc khong
Mình muốn biết Tôi thoát đây nhé được không?,goodbye,minh muon biet toi thoat day nhe duoc khong
Tôi thoát đây nhé,goodbye,toi thoat day nhe
Mình muốn biết Tôi thoát đây nhé?,goodbye,minh muon biet toi thoat day nhe
Mình muốn biết Tôi thoát đây nhé nếu có thể.,goodbye,minh muon biet toi thoat day nhe neu co the
Cho mình hỏi Tôi thoát đây nhé nếu có thể.,goodbye,cho minh hoi toi thoat day nhe neu co the
Cho mình hỏi Tôi thoát đây nhé?,goodbye,cho minh hoi toi thoat day nhe
Cho mình hỏi Tạm biệt shop?,goodbye,cho minh hoi tam biet shop
Mình muốn biết Tạm biệt shop được không?,goodbye,minh muon biet tam biet shop duoc khong
Bạn có thể cho mình biết Tạm biệt shop được không?,goodbye,ban co the cho minh biet tam biet shop duoc khong
Cho mình hỏi Tạm biệt shop nếu có thể.,goodbye,cho minh hoi tam biet shop neu co the
Bạn có thể cho mình biết Tạm biệt shop nếu có thể.,goodbye,ban co the cho minh biet tam biet shop neu co the
Xin hỏi Tạm biệt shop nếu có thể.,goodbye,xin hoi tam biet shop neu co the
Cho mình hỏi Tạm biệt shop giúp mình nhé.,goodbye,cho minh hoi tam biet shop giup minh nhe
Tạm biệt shop,goodbye,tam biet shop
Bạn có thể cho mình biết Gặp lại sau nhé nếu có thể.,goodbye,ban co the cho minh biet gap lai sau nhe neu co the
Cho mình hỏi Gặp lại sau nhé giúp mình nhé.,goodbye,cho minh hoi gap lai sau nhe giup minh nhe
Mình muốn biết Gặp lại sau nhé nếu có thể.,goodbye,minh muon biet gap lai sau nhe neu co the
Cho mình hỏi Gặp lại sau nhé nếu có thể.,goodbye,cho minh hoi gap lai sau nhe neu co the
Cho mình hỏi Gặp lại sau nhé?,goodbye,cho minh hoi gap lai sau nhe
Xin hỏi Gặp lại sau nhé được không?,goodbye,xin hoi gap lai sau nhe duoc khong
Mình muốn biết Gặp lại sau nhé được không?,goodbye,minh muon biet gap lai sau nhe duoc khong
Gặp lại sau nhé,goodbye,gap lai sau nhe
Xin hỏi Hẹn gặp lại bạn sau nếu có thể.,goodbye,xin hoi hen gap lai ban sau neu co the
Hẹn gặp lại bạn sau,goodbye,hen gap lai ban sau
Mình muốn biết Hẹn gặp lại bạn sau được không?,goodbye,minh muon biet hen gap lai ban sau duoc khong
Xin hỏi Hẹn gặp lại bạn sau được không?,goodbye,xin hoi hen gap lai ban sau duoc khong
Cho mình hỏi Hẹn gặp lại bạn sau nếu có thể.,goodbye,cho minh hoi hen gap lai ban sau neu co the
Bạn có thể cho mình biết Hẹn gặp lại bạn sau được không?,goodbye,ban co the cho minh biet hen gap lai ban sau duoc khong
Xin hỏi Hẹn gặp lại bạn sau giúp mình nhé.,goodbye,xin hoi hen gap lai ban sau giup minh nhe
Bạn có thể cho mình biết Hẹn gặp lại bạn sau?,goodbye,ban co the cho minh biet hen gap lai ban sau
Xin hỏi Thôi tôi off đây?,goodbye,xin hoi thoi toi off day
Cho mình hỏi Thôi tôi off đây?,goodbye,cho minh hoi thoi toi off day
Xin hỏi Thôi tôi off đây nếu có thể.,goodbye,xin hoi thoi toi off day neu co the
Bạn có thể cho mình biết Thôi tôi off đây nếu có thể.,goodbye,ban co the cho minh biet thoi toi off day neu co the
Cho mình hỏi Thôi tôi off đây nếu có thể.,goodbye,cho minh hoi thoi toi off day neu co the
Thôi tôi off đây,goodbye,thoi toi off day
Xin hỏi Chào tạm biệt nha nếu có thể.,goodbye,xin hoi chao tam biet nha neu co the
Xin hỏi Chào tạm biệt nha giúp mình nhé.,goodbye,xin hoi chao tam biet nha giup minh nhe
Bạn có thể cho mình biết Chào tạm biệt nha được không?,goodbye,ban co the cho minh biet chao tam biet nha duoc khong
Chào tạm biệt nha,goodbye,chao tam biet nha
Bạn có thể cho mình biết Chào tạm biệt nha giúp mình nhé.,goodbye,ban co the cho minh biet chao tam biet nha giup minh nhe
Cho mình hỏi Chào tạm biệt nha giúp mình nhé.,goodbye,cho minh hoi chao tam biet nha giup minh nhe
Bạn có thể cho mình biết Chào tạm biệt nha nếu có thể.,goodbye,ban co the cho minh biet chao tam biet nha neu co the
Mình muốn biết Chào tạm biệt nha giúp mình nhé.,goodbye,minh muon biet chao tam biet nha giup minh nhe
Xin hỏi Chào tạm biệt nha được không?,goodbye,xin hoi chao tam biet nha duoc khong
Cho mình hỏi intent nếu có thể.,text,cho minh hoi intent neu co the
Bạn có thể cho mình biết intent?,text,ban co the cho minh biet intent
Xin hỏi intent được không?,text,xin hoi intent duoc khong
Mình muốn biết intent nếu có thể.,text,minh muon biet intent neu co the
Cho mình hỏi intent giúp mình nhé.,text,cho minh hoi intent giup minh nhe
intent,text,intent
Bạn có thể cho mình biết greeting nếu có thể.,xin chào,ban co the cho minh biet greeting neu co the
Cho mình hỏi greeting được không?,xin chào,cho minh hoi greeting duoc khong
Cho mình hỏi greeting nếu có thể.,xin chào,cho minh hoi greeting neu co the
Xin hỏi greeting giúp mình nhé.,xin chào,xin hoi greeting giup minh nhe
greeting,xin chào,greeting
Mình muốn biết greeting nếu có thể.,xin chào,minh muon biet greeting neu co the
Xin hỏi greeting nếu có thể.,xin chào,xin hoi greeting neu co the
Bạn có thể cho mình biết greeting?,chào bạn,ban co the cho minh biet greeting
Xin hỏi greeting được không?,chào bạn,xin hoi greeting duoc khong
Cho mình hỏi greeting?,chào bạn,cho minh hoi greeting
Xin hỏi greeting?,chào bạn,xin hoi greeting
Cho mình hỏi greeting nếu có thể.,chào bạn,cho minh hoi greeting neu co the
Xin hỏi greeting giúp mình nhé.,chào bạn,xin hoi greeting giup minh nhe
greeting,chào bạn,greeting
Cho mình hỏi thanks được không?,cảm ơn bạn,cho minh hoi thanks duoc khong
Bạn có thể cho mình biết thanks giúp mình nhé.,cảm ơn bạn,ban co the cho minh biet thanks giup minh nhe
Bạn có thể cho mình biết thanks?,cảm ơn bạn,ban co the cho minh biet thanks
Mình muốn biết thanks được không?,cảm ơn bạn,minh muon biet thanks duoc khong
thanks,cảm ơn bạn,thanks
Xin hỏi thanks giúp mình nhé.,cảm ơn bạn,xin hoi thanks giup minh nhe
Mình muốn biết thanks?,cảm ơn bạn,minh muon biet thanks
Cho mình hỏi thanks nếu có thể.,cảm ơn bạn,cho minh hoi thanks neu co the
Xin hỏi goodbye giúp mình nhé.,tạm biệt,xin hoi goodbye giup minh nhe
Cho mình hỏi goodbye được không?,tạm biệt,cho minh hoi goodbye duoc khong
Cho mình hỏi goodbye giúp mình nhé.,tạm biệt,cho minh hoi goodbye giup minh nhe
goodbye,tạm biệt,goodbye
Cho mình hỏi goodbye?,tạm biệt,cho minh hoi goodbye
Xin hỏi goodbye?,tạm biệt,xin hoi goodbye
Bạn có thể cho mình biết find_product giúp mình nhé.,tôi muốn mua sản phẩm,ban co the cho minh biet findproduct giup minh nhe
Xin hỏi find_product giúp mình nhé.,tôi muốn mua sản phẩm,xin hoi findproduct giup minh nhe
Xin hỏi find_product được không?,tôi muốn mua sản phẩm,xin hoi findproduct duoc khong
Mình muốn biết find_product?,tôi muốn mua sản phẩm,minh muon biet findproduct
Cho mình hỏi find_product được không?,tôi muốn mua sản phẩm,cho minh hoi findproduct duoc khong
Bạn có thể cho mình biết find_product nếu có thể.,tôi muốn mua sản phẩm,ban co the cho minh biet findproduct neu co the
find_product,tôi muốn mua sản phẩm,findproduct
Bạn có thể cho mình biết find_product được không?,giá ly sứ bao nhiêu,ban co the cho minh biet findproduct duoc khong
Cho mình hỏi find_product giúp mình nhé.,giá ly sứ bao nhiêu,cho minh hoi findproduct giup minh nhe
Xin hỏi find_product được không?,giá ly sứ bao nhiêu,xin hoi findproduct duoc khong
Mình muốn biết find_product nếu có thể.,giá ly sứ bao nhiêu,minh muon biet findproduct neu co the
Bạn có thể cho mình biết find_product nếu có thể.,giá ly sứ bao nhiêu,ban co the cho minh biet findproduct neu co the
find_product,giá ly sứ bao nhiêu,findproduct
Mình muốn biết find_product giúp mình nhé.,giá ly sứ bao nhiêu,minh muon biet findproduct giup minh nhe
Cho mình hỏi find_product giúp mình nhé.,bạn có bán túi canvas không,cho minh hoi findproduct giup minh nhe
Mình muốn biết find_product?,bạn có bán túi canvas không,minh muon biet findproduct
Bạn có thể cho mình biết find_product?,bạn có bán túi canvas không,ban co the cho minh biet findproduct
Bạn có thể cho mình biết find_product nếu có thể.,bạn có bán túi canvas không,ban co the cho minh biet findproduct neu co the
find_product,bạn có bán túi canvas không,findproduct
Mình muốn biết find_product giúp mình nhé.,bạn có bán túi canvas không,minh muon biet findproduct giup minh nhe
Bạn có thể cho mình biết find_product được không?,cho tôi xem sổ tay,ban co the cho minh biet findproduct duoc khong
Cho mình hỏi find_product giúp mình nhé.,cho tôi xem sổ tay,cho minh hoi findproduct giup minh nhe
Mình muốn biết find_product?,cho tôi xem sổ tay,minh muon biet findproduct
Mình muốn biết find_product nếu có thể.,cho tôi xem sổ tay,minh muon biet findproduct neu co the
Cho mình hỏi find_product được không?,cho tôi xem sổ tay,cho minh hoi findproduct duoc khong
find_product,cho tôi xem sổ tay,findproduct
Mình muốn biết find_product giúp mình nhé.,cho tôi xem sổ tay,minh muon biet findproduct giup minh nhe
Xin hỏi find_product nếu có thể.,cho tôi xem sổ tay,xin hoi findproduct neu co the
Xin hỏi find_product giúp mình nhé.,có món quà nào cho sinh nhật không,xin hoi findproduct giup minh nhe
Cho mình hỏi find_product giúp mình nhé.,có món quà nào cho sinh nhật không,cho minh hoi findproduct giup minh nhe
Mình muốn biết find_product?,có món quà nào cho sinh nhật không,minh muon biet findproduct
Bạn có thể cho mình biết find_product?,có món quà nào cho sinh nhật không,ban co the cho minh biet findproduct
Cho mình hỏi find_product nếu có thể.,có món quà nào cho sinh nhật không,cho minh hoi findproduct neu co the
Mình muốn biết find_product nếu có thể.,có món quà nào cho sinh nhật không,minh muon biet findproduct neu co the
find_product,có món quà nào cho sinh nhật không,findproduct
Xin hỏi find_product nếu có thể.,có món quà nào cho sinh nhật không,xin hoi findproduct neu co the
Cho mình hỏi find_product?,có món quà nào cho sinh nhật không,cho minh hoi findproduct
unknown,ờ,unknown
Cho mình hỏi unknown nếu có thể.,ờ,cho minh hoi unknown neu co the
Xin hỏi unknown nếu có thể.,ờ,xin hoi unknown neu co the
Mình muốn biết unknown giúp mình nhé.,ờ,minh muon biet unknown giup minh nhe
Bạn có thể cho mình biết unknown được không?,ờ,ban co the cho minh biet unknown duoc khong
Bạn có thể cho mình biết unknown?,ờ,ban co the cho minh biet unknown
Mình muốn biết unknown?,hả,minh muon biet unknown
unknown,hả,unknown
Cho mình hỏi unknown được không?,hả,cho minh hoi unknown duoc khong
Xin hỏi unknown nếu có thể.,hả,xin hoi unknown neu co the
Mình muốn biết unknown được không?,hả,minh muon biet unknown duoc khong
Xin hỏi unknown?,hả,xin hoi unknown
Mình muốn biết unknown giúp mình nhé.,hả,minh muon biet unknown giup minh nhe
Bạn có thể cho mình biết unknown được không?,hả,ban co the cho minh biet unknown duoc khong
Mình muốn biết unknown?,là sao,minh muon biet unknown
unknown,là sao,unknown
Cho mình hỏi unknown được không?,là sao,cho minh hoi unknown duoc khong
Mình muốn biết unknown nếu có thể.,là sao,minh muon biet unknown neu co the
Xin hỏi unknown giúp mình nhé.,là sao,xin hoi unknown giup minh nhe
Cho mình hỏi unknown?,là sao,cho minh hoi unknown
Xin hỏi unknown?,là sao,xin hoi unknown
Bạn có thể cho mình biết unknown nếu có thể.,là sao,ban co the cho minh biet unknown neu co the
